Municipios,OcupHot,ABOccuRate,SharePernoc,ShABRentals,TourOv,TourC,Pop,GDPpc,MovA,S.S,AccAward,Pop.D,InfoWAcc,BookHSR,SmrtF,InnC
Adeje,80.8,71,4.229553921941771,0.30378082818141117,8.54,22.65,47.28,20725,16845622,1,0,4.8,0,12.61595547,1,2.09
Albacete,35.43,53,0.12296472411758394,0.10457392707790415,8.61,7.84,173.05,24515,1380,0,0,8.8,1,18.75,1,1.07
Albarracín,32.67,35,0.03178493180535585,0.00152414338378883,6.83,13.95,1.016,21905,0,0,0,6,0,15.90909091,0,0
Alcúdia,79.52,77,1.5407979217454535,0.22521259758940393,6.86,27.27,19.793,23135,29081787,1,0,5.2,0,2.878787879,0,0
Alicante,65.53,51,0.7908782415005647,1.1213340609303535,9.87,10.8,331.577,25874,13981320,1,0,6,0,23.07116105,1,1.62
Almería,59.4,48,0.34841241838184284,0.45250728390844797,9.03,9.29,196.851,23234,992043,1,0,6.5,1,14.87603306,1,1.29
Almuñecar,55.7,41,0.38191508695000465,0.2141693622684697,9.03,16.75,26.377,18487,1126389,1,0,6.6,0,23.56321839,1,0.61
Arcos de la Frontera,33.07,22,0.041450344302958866,0.039654944824648666,9.03,11.67,30.741,16531,1133621,0,0,8.9,0,8.045977011,0,0.07
Arona,82.87,75,2.4522499890616403,0.6616687464873259,8.54,21.43,79.448,18311,16845622,1,1,4.8,1,17.69436997,1,1.46
Ávila,44.26,35,0.18481066760781217,0.16917311138902538,4.83,9.27,57.657,24279,0,0,1,8.2,1,16.03773585,1,0.93
Barbate,49.61,25,0.08222587817138129,0.10700303059581759,9.03,17.17,22.551,17320,1133621,1,0,8.9,0,14.92537313,0,0.46
Barcelona,68.32,70,8.11589439263693,10.819587691997839,5.82,8.67,1620.343,34669,50172457,1,0,7.2,1,13.95663957,1,2.86
Benalmádena,72.58,54,1.3508431127738167,1.694697750119414,9.03,17.5,67.746,23633,19021704,1,0,7.6,0,26.06761566,1,1.17
Benasque,56.88,39,0.09935625228109218,0.006293895669663695,6.83,27.31,2.157,21942,2972,0,0,11,0,15.45454545,0,0.4
Benicassim,60.51,32,0.16267630824163337,0.3403058357000649,9.87,13.88,18.055,32074,0,1,0,8.8,0,21.05263158,0,0.76
Benidorm,77.16,44,4.801896226389972,1.19396901906404,9.87,21.52,67.558,20433,13981320,1,0,6,1,16.50190114,1,0.59
Bilbao,60.18,54,0.7203211837142923,5.6563410488556,4.84,10.98,345.821,32986,5469453,0,1,5.4,1,23.84937238,1,2.02
Burgos,52.21,37,0.3050419354081016,1.117652982490042,4.83,8.28,175.921,26232,10341,0,1,6.8,0,17.30769231,1,0.85
Cáceres,47.77,35,0.17768043175797896,0.03735512132589588,4.09,10.22,96.068,25090,0,0,1,8.7,0,13.66906475,1,1.74
Calella,76.68,70,0.7886254381867335,1.5928659202900228,5.82,17.81,18.728,23784,50172457,1,0,7.2,0,7.03125,0,0.93
Calvia,76.44,41,3.5358442607760034,0.2314996890475329,6.86,16.99,49.333,27846,29081787,1,0,5.2,0,13.33333333,1,0.69
Cambrils,71.46,96,0.4932233573978347,0.634084472925362,5.82,14.49,33.362,28246,1037576,1,0,7.1,0,12.23404255,0,1.19
Cangas de Onís,47.17,19,0.12401713159429228,0.02007242402757611,10.4,29.17,6.278,18339,1400481,0,0,11.9,0,19.79166667,0,0
Capdepera,77.53,54,1.2466057179421164,0.14376618551818834,6.86,21.15,11.6,19419,29081787,1,0,5.2,0,6.451612903,1,0.7
Cartagena,57.52,38,0.46003604007122467,0.26083264497393305,12.1,9.79,213.943,24712,1273424,1,0,10.6,1,22.98850575,0,0.83
Castell-Platja d'Aro,48.83,48,0.31096930207774093,0.3334403862614804,9.87,16.08,10.585,27101,2019876,1,0,5.6,0,10.81081081,0,0.9
Castellón de la Plana,43.05,51,0.18324133142926588,1.0816382908364963,5.82,8.76,170.888,25495,0,1,0,8.8,0,28.35820896,0,1.37
Cazorla,36.29,23,0.042016327642371544,0.016874444606233475,9.03,17.7,7.574,17730,1126389,0,0,6.6,0,14.60674157,0,0.39
