Municipios,OcupHot,ABOccuRate,SharePernoc,ShABRentals,TourOv,TourC,Pop,GDPpc,MovA,S.S,AccAward,Pop.D,InfoWAcc,BookHSR,SmrtF,InnC,TurApp
Adeje,80.8,71,4.22955392194177,0.303780828181411,8.54,22.65,47.28,20725,16845622,1,0,4.8,0,12.61595547,1,2.09,1
Albacete,35.43,53,0.122964724117584,0.104573927077904,8.61,7.84,173.05,24515,1380,0,0,8.8,1,18.75,1,1.07,0
Albarracín,32.67,35,0.0317849318053558,0.00152414338378883,6.83,13.95,1.016,21905,0,0,0,6,0,15.90909091,0,0,1
Alcúdia,79.52,77,1.54079792174545,0.225212597589404,6.86,27.27,19.793,23135,29081787,1,0,5.2,0,2.878787879,0,0,0
Alicante,65.53,51,0.790878241500565,1.12133406093035,9.87,10.8,331.577,25874,13981320,1,0,6,0,23.07116105,1,1.62,1
Almería,59.4,48,0.348412418381843,0.452507283908448,9.03,9.29,196.851,23234,992043,1,0,6.5,1,14.87603306,1,1.29,1
Almuñecar,55.7,41,0.381915086950005,0.21416936226847,9.03,16.75,26.377,18487,1126389,1,0,6.6,0,23.56321839,1,0.61,0
Arcos de la Frontera,33.07,22,0.0414503443029589,0.0396549448246487,9.03,11.67,30.741,16531,1133621,0,0,8.9,0,8.045977011,0,0.07,0
Arona,82.87,75,2.45224998906164,0.661668746487326,8.54,21.43,79.448,18311,16845622,1,1,4.8,1,17.69436997,1,1.46,1
Ávila,44.26,35,0.184810667607812,0.169173111389025,4.83,9.27,57.657,24279,0,0,1,8.2,1,16.03773585,1,0.93,1
Barbate,49.61,25,0.0822258781713813,0.107003030595818,9.03,17.17,22.551,17320,1133621,1,0,8.9,0,14.92537313,0,0.46,1
Barcelona,68.32,70,8.11589439263693,10.8195876919978,5.82,8.67,1620.343,34669,50172457,1,0,7.2,1,13.95663957,1,2.86,1
Benalmádena,72.58,54,1.35084311277382,1.69469775011941,9.03,17.5,67.746,23633,19021704,1,0,7.6,0,26.06761566,1,1.17,0
Benasque,56.88,39,0.0993562522810922,0.0062938956696637,6.83,27.31,2.157,21942,2972,0,0,11,0,15.45454545,0,0.4,0
Benicassim,60.51,32,0.162676308241633,0.340305835700065,9.87,13.88,18.055,32074,0,1,0,8.8,0,21.05263158,0,0.76,1
Benidorm,77.16,44,4.80189622638997,1.19396901906404,9.87,21.52,67.558,20433,13981320,1,0,6,1,16.50190114,1,0.59,0
Bilbao,60.18,54,0.720321183714292,5.6563410488556,4.84,10.98,345.821,32986,5469453,0,1,5.4,1,23.84937238,1,2.02,0
Burgos,52.21,37,0.305041935408102,1.11765298249004,4.83,8.28,175.921,26232,10341,0,1,6.8,0,17.30769231,1,0.85,0
Cáceres,47.77,35,0.177680431757979,0.0373551213258959,4.09,10.22,96.068,25090,0,0,1,8.7,0,13.66906475,1,1.74,0
Calella,76.68,70,0.788625438186733,1.59286592029002,5.82,17.81,18.728,23784,50172457,1,0,7.2,0,7.03125,0,0.93,0
Calvia,76.44,41,3.535844260776,0.231499689047533,6.86,16.99,49.333,27846,29081787,1,0,5.2,0,13.33333333,1,0.69,0
Cambrils,71.46,96,0.493223357397835,0.634084472925362,5.82,14.49,33.362,28246,1037576,1,0,7.1,0,12.23404255,0,1.19,0
Cangas de Onís,47.17,19,0.124017131594292,0.0200724240275761,10.4,29.17,6.278,18339,1400481,0,0,11.9,0,19.79166667,0,0,0
Capdepera,77.53,54,1.24660571794212,0.143766185518188,6.86,21.15,11.6,19419,29081787,1,0,5.2,0,6.451612903,1,0.7,0
Cartagena,57.52,38,0.460036040071225,0.260832644973933,12.1,9.79,213.943,24712,1273424,1,0,10.6,1,22.98850575,0,0.83,0
Castell-Platja d'Aro,48.83,48,0.310969302077741,0.33344038626148,9.87,16.08,10.585,27101,2019876,1,0,5.6,0,10.81081081,0,0.9,0
Castellón de la Plana,43.05,51,0.183241331429266,1.0816382908365,5.82,8.76,170.888,25495,0,1,0,8.8,0,28.35820896,0,1.37,0
Cazorla,36.29,23,0.0420163276423715,0.0168744446062335,9.03,17.7,7.574,17730,1126389,0,0,6.6,0,14.60674157,0,0.39,0
Chiclana de la Frontera,67.77,29,0.866642510898972,0.277707089580167,9.03,10.25,83.831,21342,1133621,1,0,8.9,0,17.04035874,1,0.87,0
Ciudatella de Menorca,79.85,70,0.819577677824854,0.106900967422796,6.86,13.2,29.223,21088,3442752,1,0,5.2,0,18.4,0,0.46,0
Conil de la Frontera,65.06,44,0.353581705400222,0.0396549448246487,9.03,15.82,22.427,19287,1133621,1,0,8.9,0,6.201550388,1,0.62,1
Córdoba,60.81,48,0.66901786506418,0.176868674634852,9.03,9.58,325.708,24233,8255,0,0,6.7,1,28.18073722,1,1.13,0
Coruña (A),49.22,45,0.39015709051025,4.40743482585981,10.04,10.17,244.85,27290,3950513,1,0,8.2,0,25.21008403,0,1.58,1
Cuenca,43.34,31,0.137260234844089,0.0409953744969987,8.61,11.96,54.898,24536,0,0,0,10.4,0,11.64021164,0,1,1
Denia,58.21,50,0.185763729137836,0.428944299363534,9.87,12.14,41.733,22071,13981320,1,0,6,0,6.297229219,1,1.21,0
Donostia-San Sebastián,63.25,51,0.541745813988458,2.08899500434789,4.84,6.34,186.665,39337,289444,1,0,11.6,1,14.65517241,1,1.51,0
El Puerto de Santa María,48.23,25,0.213775988312234,0.377429613833779,9.03,13.46,88.364,25938,1133621,0,0,8.9,0,20.33195021,1,0.97,1
Elche,54.22,36,0.148469425641838,0.481357140815879,9.87,7.34,230.625,19495,13981320,1,1,6,0,16.12903226,1,1.03,0
Estepona,69.65,41,0.530801683123151,0.332821203011816,9.03,11.99,67.012,20949,19021704,1,0,7.6,0,18.56492027,1,0.91,0
Fuengirola,64.79,51,1.07794350724483,4.94706323425948,9.03,17.62,75.396,21787,19021704,1,0,7.6,0,20.02923977,0,1.13,0
Gandía,65.6,32,0.460278839916027,0.826228602455776,9.87,12.76,73.829,20810,7769867,1,0,10.5,0,16.98113208,1,1.28,0
Gijón,48.13,34,0.344707762685338,1.01854283727456,10.4,10.78,271.843,25931,1400481,1,0,11.9,1,21.64948454,1,1.26,0
Granada,63.2,61,1.34345935925921,1.79544771031478,9.03,13.61,232.208,27457,1126389,0,0,6.6,1,20.27027027,1,1.42,0
Grove (O),47.65,30,0.137612274007861,0.333971114761193,10.04,19.66,10.7,17544,1129689,1,0,9,0,8.536585366,1,0.54,1
